START TIME,DIRECTION,DURATION
1552853580722,Rest,10
1552853591733,Left,10
1552853601742,Right,10
1552853611758,Rest,10
1552853621766,Left,10
1552853631774,Right,10
1552853641784,Rest,10
1552853651790,Left,10
1552853661799,Right,10
1552853671807,Rest,10
1552853681813,Left,10
1552853691818,Right,10
1552853701827,Rest,10
1552853711834,Left,10
1552853721841,Right,10
1552853731853,Rest,10
1552853741862,Left,10
1552853751867,Right,10
1552853761873,Rest,10
1552853771885,Left,10
1552853781890,Right,10
1552853791897,Rest,10
1552853801907,Left,10
1552853811912,Right,10
1552853821917,Rest,10
1552853831924,Left,10
1552853841933,Right,10
1552853851940,Rest,10
1552853861950,Left,10
1552853871956,Right,10
